,budget,genres,keywords,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,tagline,title,vote_count,Profit
27,209000000,Thriller   Action   Adventure   Science Fiction,fight   u s navy   mind reading   hong kong   soccer   scientist   fictional war   naval   armada   battleship   naval combat   jds myoko   lost communication   taser   buoy   communications expert   joint chiefs of staff   crash landing   jet fighter pilot   navy lieutenant   permission to marry   uss john paul jones   based on board game   aftercreditsstinger   mighty mo   uss missouri,en,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",64.928382,Universal Pictures   Hasbro   Bluegrass Films   Film,US  United States of America,2012-04-11,303025485,131.0,The Battle for Earth Begins at Sea,Battleship,2114,94025485
28,150000000,Action   Adventure   Science Fiction   Thriller,monster   dna   tyrannosaurus rex   velociraptor   island   sequel   suspense   disaster   escape   dinosaur   amusement park   animal attack   theme park   jurassic park   d   animal horror,en,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",418.708552,Universal Studios   Amblin Entertainment   Legendary Pictures   Fuji Television Network   Dentsu,US  United States of America,2015-06-09,1513528810,124.0,The park is open.,Jurassic World,8662,1363528810
29,200000000,Action   Adventure   Thriller,spy   secret agent   sociopath   killer   art gallery   british secret service   istanbul turkey   imax   uzi   booby trap   impersonating a police officer   macao,en,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",93.004993,Columbia Pictures,GB  United Kingdom  US  United States of America,2012-10-25,1108561013,143.0,Think on your sins.,Skyfall,7604,908561013
30,200000000,Action   Adventure   Fantasy,dual entity   love of one s life   pizza boy   marvel comic   sequel   superhero   doctor   scientist   tentacle   death   super villain,en,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",35.149586,Columbia Pictures   Laura Ziskin Productions   Marvel Enterprises,US  United States of America,2004-06-25,783766341,127.0,There's a hero in all of us.,Spider-Man 2,4321,583766341
31,200000000,Action   Adventure   Science Fiction,terrorist   war on terror   tennessee   malibu   marvel comic   superhero   based on comic book   tony stark   iron man   aftercreditsstinger   marvel cinematic universe   mandarin   d   war machine   iron patriot   extremis,en,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",77.68208,Marvel Studios,CN  China  US  United States of America,2013-04-18,1215439994,130.0,Unleash the power behind the armor.,Iron Man 3,8806,1015439994
32,200000000,Family   Fantasy   Adventure,based on novel   fictional place   queen   fantasy   alice in wonderland   fantasy world   d,en,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",78.530105,Walt Disney Pictures   Team Todd   Tim Burton Productions   Roth Films   Zanuck Company The,US  United States of America,2010-03-03,1025491110,108.0,You're invited to a very important date.,Alice in Wonderland,4645,825491110
33,210000000,Adventure   Action   Science Fiction   Thriller,mutant   marvel comic   based on comic book   superhuman   beast   cyclops   aftercreditsstinger,en,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",3.857526,Ingenious Film Partners   Twentieth Century Fox Film Corporation   Donners Company   Dune Entertainment   Major Studio Partners   Bad Hat Harry Productions   thinkfilm   Marvel Enterprises   X Canada Productions   X US Productions   XM Service,CA  Canada  GB  United Kingdom  US  United States of America,2006-05-24,459359555,104.0,Take a Stand,X-Men: The Last Stand,3525,249359555
34,200000000,Animation   Family,monster   dormitory   games   animation   best friend   university   scary   aftercreditsstinger,en,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,89.186492,Walt Disney Pictures   Pixar Animation Studios,US  United States of America,2013-06-20,743559607,104.0,School never looked this scary.,Monsters University,3528,543559607
35,150000000,Science Fiction   Action   Adventure,egypt   sun   chaos   symbol   artifact   transformers   tank   robot   imax   duringcreditsstinger,en,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",21.939663,Paramount Pictures   DreamWorks SKG   Amblin Entertainment   Di Bonaventura Pictures   Platinum Dunes   Hasbro Studios   Revolution Sun Studios,US  United States of America,2009-06-19,836297228,150.0,Revenge is coming.,Transformers: Revenge of the Fallen,3138,686297228
36,210000000,Science Fiction   Action   Adventure,sequel   alien   transformers   giant robot   robot   imax   transforming robot,en,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",116.840296,Paramount Pictures   Amblin Entertainment   Di Bonaventura Pictures   Platinum Dunes   China Movie Channel   Hasbro Studios   Ian Bryce Productions   Revolution Sun Studios,US  United States of America,2014-06-25,1091405097,165.0,This is not war. It's extinction.,Transformers: Age of Extinction,3095,881405097
37,200000000,Fantasy   Adventure   Family,circus   witch   magic   hope   illusion   lost   magic trick   wizard   d,en,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",46.985445,Walt Disney Pictures   Roth Films,US  United States of America,2013-03-07,491868548,130.0,"In Oz, nothing is what it seems",Oz: The Great and Powerful,3530,291868548
38,200000000,Action   Adventure   Fantasy,obsession   marvel comic   sequel   based on comic book   electrocution   medical experiment   electricity   super powers,en,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",89.270217,Columbia Pictures   Marvel Enterprises   Avi Arad Productions   Matt Tolmach Productions,US  United States of America,2014-04-16,705717432,142.0,No more secrets.,The Amazing Spider-Man 2,4179,505717432
39,170000000,Adventure   Action   Science Fiction,artificial intelligence   secret entity   computer program   dystopia   computer   deception   duel   motorcycle   neon light   autocracy,en,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",73.79505,Walt Disney Pictures   LivePlanet   Prana Studios   Sean Bailey Productions   Revolution Sun Studios   Kontsept Film Company,US  United States of America,2010-12-10,400062763,125.0,The Game Has Changed.,TRON: Legacy,2841,230062763
40,200000000,Animation   Family   Adventure   Comedy,car race   sequel   comedy   anthropomorphism   best friend   duringcreditsstinger,en,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,49.98659,Walt Disney Pictures   Pixar Animation Studios,US  United States of America,2011-06-11,559852396,106.0,Ka-ciao!,Cars 2,2033,359852396
41,200000000,Adventure   Action   Thriller   Science Fiction,dc comics   transformation   superhero   alien   alien infection   magical object   protector   super powers   origin   d,en,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",51.872839,De Line Pictures   Warner Bros   DC Entertainment,US  United States of America,2011-06-16,219851172,114.0,"In our darkest hour, there will be light.",Green Lantern,2487,19851172
42,200000000,Animation   Family   Comedy,hostage   college   toy   barbie   animation   escape   day care   teddy bear   duringcreditsstinger   toy comes to life   personification   inanimate objects coming to life   toy story,en,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",59.995418,Walt Disney Pictures   Pixar Animation Studios,US  United States of America,2010-06-16,1066969703,103.0,No toy gets left behind.,Toy Story 3,4597,866969703
43,200000000,Action   Science Fiction   Thriller,saving the world   artificial intelligence   prophecy   san francisco   cyborg   killer robot   gas station   post apocalyptic   dystopia   army   firearm   wartime   los angeles,en,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",71.862892,Columbia Pictures   The Halcyon Company   Wonderland Sound and Vision   Warner Bros,DE  Germany  IT  Italy  GB  United Kingdom  US  United States of America,2009-05-20,371353001,115.0,The End Begins.,Terminator Salvation,2463,171353001
44,190000000,Action,car race   speed   revenge   suspense   car   race   muscle car,en,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,102.322217,Universal Pictures   Original Film   Fuji Television Network   Dentsu   One Race Films   China Film Co   Qu u e bec Production Services Tax Credit   Media Rights Capital MRC   Abu Dhabi Film Commission   Colorado Office of Film Television Media,JP  Japan  US  United States of America,2015-04-01,1506249360,137.0,Vengeance Hits Home,Furious 7,4176,1316249360
45,200000000,Action   Drama   Horror   Science Fiction   Thriller,dystopia   apocalypse   zombie   nuclear weapons   multiple perspectives   zombie apocalypse,en,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",81.834855,Paramount Pictures   GK Films   Skydance Productions   Hemisphere Media Capital   Apparatus Productions   Latina Pictures   DUX u b,US  United States of America  MT  Malta,2013-06-20,531865000,116.0,Remember Philly!,World War Z,5560,331865000
46,250000000,Action   Adventure   Fantasy   Science Fiction,s   mutant   time travel   marvel comic   based on comic book   superhuman   storm   beast   aftercreditsstinger   changing the past or future,en,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,118.078691,Twentieth Century Fox Film Corporation   Donners Company   Marvel Entertainment   Bad Hat Harry Productions   TSG Entertainment   Down Productions   Revolution Sun Studios,GB  United Kingdom  US  United States of America,2014-05-15,747862775,131.0,"To save the future, they must alter the past",X-Men: Days of Future Past,6032,497862775
